Job Title,Company Name,Location,Salary
Data Scientist,Aditya Birla Management Corporation (ABMCPL),Bengaluru,Not Disclosed
Data Scientist/Software Developer,Xylem Water Solutions,Bengaluru,Not Disclosed
Data Scientist III,Walmart,Bengaluru,Not Disclosed
Data Scientist,Genpact,Bengaluru,20-30 Lacs PA
Data Scientist | Python | GenAI | LLM | RAG,Infosys,"Hybrid - Hyderabad, Chennai, Bengaluru",Not Disclosed
Machine Learning Data Scientist,Hsbc,Bengaluru,Not Disclosed
Advanced Data Scientist,ExxonMobil,Bengaluru,Not Disclosed
Data Scientist,VOIS,"Pune, Bengaluru",Not Disclosed
Data Scientist | GenAI | Agentic AI | LLM | RAG,Infosys,"Hybrid - Pune, Bengaluru, Delhi / NCR",Not Disclosed
Data Scientist AIML,Tata Consultancy Services,"Hyderabad, Chennai, Bengaluru",Not Disclosed
Data Scientist/Python/MLops- 4th Sep(Fri)-6+ years - Video Interview,Tata Consultancy Services,"Pune, Bengaluru, Delhi / NCR",Not Disclosed
Data scientist III,Swiggy,Bengaluru,Not Disclosed
Data Scientist,Maruti Suzuki,Bengaluru,Not Disclosed
Data Scientist/ Data Analyst,PwC,"Hybrid - Hyderabad, Gurugram, Bengaluru",Not Disclosed
Walk-in || Data Scientist,Capgemini,Hybrid - Bengaluru,Not Disclosed
Data Scientist (Fulltime or Contract),Carnation Infotech,Remote,15-20 Lacs PA
Advanced Data Scientist,Antuit,Bengaluru,Not Disclosed
Python with data scientist + Gen AI/ LangChain Langgraph,Cloudxtreme,"Hyderabad, Chennai, Bengaluru",14-20 Lacs PA
Data Scientist- MLOPS,Persistent,Bengaluru,0-18 Lacs PA
Data Scientist/AI-ML Engg,Tavant,Bengaluru,Not Disclosed
