Job Title,Company Name,Location,Salary
Data Scientist,Aditya Birla Management Corporation (ABMCPL),Bangalore,Not Disclosed
Data Scientist/Software Developer,Xylem Water Solutions,Bangalore,Not Disclosed
Data Scientist III,Walmart,Bangalore,Not Disclosed
Data Scientist,Genpact,Bangalore,20-30 Lacs PA
Data Scientist | Python | GenAI | LLM | RAG,Infosys,Bangalore,Not Disclosed
Machine Learning Data Scientist,Hsbc,Bangalore,Not Disclosed
Advanced Data Scientist,ExxonMobil,Bangalore,Not Disclosed
Data Scientist,VOIS,Bangalore,Not Disclosed
Data Scientist | GenAI | Agentic AI | LLM | RAG,Infosys,Bangalore,Not Disclosed
Data Scientist AIML,Tata Consultancy Services,Bangalore,Not Disclosed
Data Scientist | Python | GenAI | LLM | RAG,Infosys,Hyderabad,Not Disclosed
Data Scientist (Computer Vision),Scry Analytics,Hyderabad,Not Disclosed
Data Scientist,Amgen Inc,Hyderabad,Not Disclosed
Data Scientist AIML,Tata Consultancy Services,Hyderabad,Not Disclosed
Data Scientist/ Data Analyst,PwC,Hyderabad,Not Disclosed
Walk-in || Data Scientist,Capgemini,Hyderabad,Not Disclosed
Data Scientist I,Kroll,Hyderabad,Not Disclosed
Data Scientist III,S&P Global Market Intelligence,Hyderabad,Not Disclosed
Data Scientist,Cloudxtreme,Hyderabad,Not Disclosed
Data Scientist,Tekone It Services,Hyderabad,Not Disclosed
ML Engineer + Data Scientist,LTM,Pune,Not Disclosed
Data Scientist,VOIS,Pune,Not Disclosed
Data Scientist | GenAI | Agentic AI | LLM | RAG,Infosys,Pune,Not Disclosed
Lead Data Scientist- Gen AI,Fractal Analytics,Pune,Not Disclosed
Data Scientist/Python/MLops- 4th Sep(Fri)-6+ years - Video Interview,Tata Consultancy Services,Pune,Not Disclosed
Data Scientist People Data Analytics & Insights,Syngenta,Pune,Not Disclosed
Data Scientist,Scry Analytics,Pune,Not Disclosed
Data Scientist,Infosys,Pune,Not Disclosed
Data Scientist - Immediate To 30 days notice period -PAN India,Genpact,Pune,15-30 Lacs PA
Gen AI Data Scientist,IT Global MNC,Pune,20-35 Lacs PA
Data Scientist | Python | GenAI | LLM | RAG,Infosys,Chennai,Not Disclosed
Data Scientist,UPS Supply Chain Solutions (UPS SCS),Chennai,Not Disclosed
Data Scientist AIML,Tata Consultancy Services,Chennai,Not Disclosed
Principal/Lead Data Scientist,Fractal Analytics,Chennai,Not Disclosed
"Senior - Data Scientist Python, R, SQL, EDA, GCP",UPS Supply Chain Solutions (UPS SCS),Chennai,Not Disclosed
Data Scientist,Hitachi Energy,Chennai,Not Disclosed
AWS Redshift Senior Data Engineer,Tata Consultancy Services,Chennai,5-15 Lacs PA
Gen AI Engineer/ Data scientist,Tata Consultancy Services,Chennai,Not Disclosed
Data Scientist - F2F discussion - Chennai,Tata Consultancy Services,Chennai,Not Disclosed
Data Scientist,Ford,Chennai,Not Disclosed
Principal/Lead Data Scientist,Fractal Analytics,Mumbai,Not Disclosed
Senior Data Scientist,Mastercard,Mumbai,Not Disclosed
Data Scientist AIML,Tata Consultancy Services,Mumbai,Not Disclosed
GCP Data Engineer (Lead),Blue Star,Mumbai,Not Disclosed
Senior Data Platform Engineering Manager,Crisil,Mumbai,Not Disclosed
DBT Cloud Data Engineer,Capgemini,Mumbai,Not Disclosed
Data Scientist,Aditya Birla Insulators,Mumbai,Not Disclosed
Data Science Lead,National Payments Corporation of India (NPCI),Mumbai,Not disclosed
Data Scientist - Data AI,Star Union Dai ichi Life Insurance (SUD Life),Mumbai,Not Disclosed
Data Scientist- Gen AI,Fractal Analytics,Mumbai,Not Disclosed
Data Scientist - Gen AI,Dr Lal PathLabs,Delhi,Not Disclosed
Data Scientist/Technical Analyst,Maruti Suzuki,Delhi,Not Disclosed
Data Scientist,PayU,Delhi,Not Disclosed
Data Scientist | GenAI | Agentic AI | LLM | RAG,Infosys,Delhi,Not Disclosed
Data Scientist/Python/MLops- 4th Sep(Fri)-6+ years - Video Interview,Tata Consultancy Services,Delhi,Not Disclosed
Data Scientist,Maruti Suzuki,Delhi,Not Disclosed
Data Scientist,Scry Analytics,Delhi,Not Disclosed
Lead/Senior Domino Data Lab with Python,Epam Systems,Delhi,Not disclosed
Data Scientist -Telecom (RAN+ AI ),Airtel,Delhi,Not Disclosed
Data Scientist/ Data Analyst,PwC,Delhi,Not Disclosed
