PC1,PC2,Species,Sepal Length (cm),Sepal Width (cm),Petal Length (cm),Petal Width (cm)
-2.2647028088075873,0.4800265965209898,setosa,5.1,3.5,1.4,0.2
-2.080961151965767,-0.674133556605352,setosa,4.9,3.0,1.4,0.2
-2.3642290538903,-0.3419080238846756,setosa,4.7,3.2,1.3,0.2
-2.2993842170427072,-0.597394507674675,setosa,4.6,3.1,1.5,0.2
-2.3898421663138434,0.6468353829020272,setosa,5.0,3.6,1.4,0.2
-2.0756309481765105,1.4891775233211666,setosa,5.4,3.9,1.7,0.4
-2.4440288351341515,0.047644197630014415,setosa,4.6,3.4,1.4,0.3
-2.232847158872014,0.2231480726895922,setosa,5.0,3.4,1.5,0.2
-2.334640477907621,-1.1153276754616654,setosa,4.4,2.9,1.4,0.2
-2.1843281749339414,-0.46901356140237493,setosa,4.9,3.1,1.5,0.1
-2.166310100701321,1.0436906530538603,setosa,5.4,3.7,1.5,0.2
-2.3261308664426976,0.13307833523923196,setosa,4.8,3.4,1.6,0.2
-2.2184508988224088,-0.72867616531657,setosa,4.8,3.0,1.4,0.1
-2.6331006957652274,-0.9615067291701622,setosa,4.3,3.0,1.1,0.1
-2.198740603266688,1.8600571132939314,setosa,5.8,4.0,1.2,0.2
-2.262214531601019,2.686284485110592,setosa,5.7,4.4,1.5,0.4
-2.2075876958245906,1.4836093631555725,setosa,5.4,3.9,1.3,0.4
-2.1903495091922975,0.4888383164863281,setosa,5.1,3.5,1.4,0.3
-1.8985719958028404,1.4050187944665495,setosa,5.7,3.8,1.7,0.3
-2.343369053074991,1.1278493819084763,setosa,5.1,3.8,1.5,0.3
-1.9143229960825667,0.4088557077559068,setosa,5.4,3.4,1.7,0.2
-2.207012843194797,0.9241214267468986,setosa,5.1,3.7,1.5,0.4
-2.7743447029273307,0.4583436677529156,setosa,4.6,3.6,1.0,0.2
-1.8186695286958485,0.08555852628736649,setosa,5.1,3.3,1.7,0.5
-2.2271633057066373,0.13725445536342756,setosa,4.8,3.4,1.9,0.2
-1.9518463309003753,-0.6256185877766758,setosa,5.0,3.0,1.6,0.2
-2.0511513727294144,0.24216355266166734,setosa,5.0,3.4,1.6,0.4
-2.168577174654215,0.527149525308268,setosa,5.2,3.5,1.5,0.2
-2.1395634513013304,0.3132178101399524,setosa,5.2,3.4,1.4,0.2
-2.26526149315424,-0.33773190376048,setosa,4.7,3.2,1.6,0.2
-2.140122135647984,-0.5045406901415177,setosa,4.8,3.1,1.6,0.2
-1.8315947706760272,0.42369506760378634,setosa,5.4,3.4,1.5,0.4
-2.6149479358589325,1.7935758561044288,setosa,5.2,4.1,1.5,0.1
-2.4461773916965126,2.1507278773929244,setosa,5.5,4.2,1.4,0.2
-2.1099748753186516,-0.4602018414370367,setosa,4.9,3.1,1.5,0.2
-2.2078088990782647,-0.2061073976884362,setosa,5.0,3.2,1.2,0.2
-2.0451462067542,0.6615581114631088,setosa,5.5,3.5,1.3,0.2
-2.5273319131704843,0.5922927741908097,setosa,4.9,3.6,1.4,0.1
-2.4296325750845456,-0.9041800403761472,setosa,4.4,3.0,1.3,0.2
-2.1697107116306626,0.26887896143547135,setosa,5.1,3.4,1.5,0.2
-2.286475143345669,0.44171538769905044,setosa,5.0,3.5,1.3,0.3
-1.8581224563735717,-2.337415157553347,setosa,4.5,2.3,1.3,0.3
-2.553638395614355,-0.47910069012231354,setosa,4.4,3.2,1.3,0.2
-1.9644476837637395,0.4723266677192609,setosa,5.0,3.5,1.6,0.6
-2.1370590058116212,1.1422292620394086,setosa,5.1,3.8,1.9,0.4
-2.069744299591829,-0.7110527253858934,setosa,4.8,3.0,1.4,0.3
-2.3847331657782607,1.1204297019845364,setosa,5.1,3.8,1.6,0.2
-2.394376314219632,-0.3862468725891567,setosa,4.6,3.2,1.4,0.2
-2.229446547942673,0.9979597643079807,setosa,5.3,3.7,1.5,0.2
-2.203833435519129,0.009216357521276813,setosa,5.0,3.3,1.4,0.2
1.1017811830529478,0.8629724182621588,versicolor,7.0,3.2,4.7,1.4
0.7313374253960875,0.5946147256694242,versicolor,6.4,3.2,4.5,1.5
1.2409793195158307,0.6162976544374982,versicolor,6.9,3.1,4.9,1.5
0.407483058817384,-1.75440398932341,versicolor,5.5,2.3,4.0,1.3
1.0754747006090775,-0.20842104605096548,versicolor,6.5,2.8,4.6,1.5
0.3886873365356645,-0.5932836359900753,versicolor,5.7,2.8,4.5,1.3
0.746529741329161,0.7730193120985959,versicolor,6.3,3.3,4.7,1.6
-0.4873227421256403,-1.852429086857574,versicolor,4.9,2.4,3.3,1.0
0.9279016383549449,0.03222607789115394,versicolor,6.6,2.9,4.6,1.3
0.011426188736979788,-1.0340182751294407,versicolor,5.2,2.7,3.9,1.4
-0.11019628000063018,-2.6540728185365636,versicolor,5.0,2.0,3.5,1.0
0.44069344898307816,-0.06329518843800173,versicolor,5.9,3.0,4.2,1.5
0.5621083064431777,-1.7647243806169441,versicolor,6.0,2.2,4.0,1.0
0.7195618886754963,-0.1862246058315059,versicolor,6.1,2.9,4.7,1.4
-0.033354703178772434,-0.43900320998162473,versicolor,5.6,2.9,3.6,1.3
0.8754071908577375,0.5090639567734085,versicolor,6.7,3.1,4.4,1.4
0.35025166799508256,-0.1963117345514445,versicolor,5.6,3.0,4.5,1.5
0.1588100475479709,-0.7920957424327212,versicolor,5.8,2.7,4.1,1.0
1.2250936335624303,-1.6222438030915014,versicolor,6.2,2.2,4.5,1.5
0.1649178993863266,-1.3026092302957724,versicolor,5.6,2.5,3.9,1.1
0.7376826487712582,0.396571561960238,versicolor,5.9,3.2,4.8,1.8
0.47628719094097094,-0.41732028121355075,versicolor,6.1,2.8,4.0,1.3
1.2341780976571481,-0.9333257287992783,versicolor,6.3,2.5,4.9,1.5
0.6328581997098214,-0.4163877208890993,versicolor,6.1,2.8,4.7,1.2
0.702661183136182,-0.06341181972479998,versicolor,6.4,2.9,4.3,1.3
0.8742736538812901,0.25079339290061203,versicolor,6.6,3.0,4.4,1.4
1.256509116541883,-0.0772560196958688,versicolor,6.8,2.8,4.8,1.4
1.3584051214406314,0.33131168179089776,versicolor,6.7,3.0,5.0,1.7
0.6648003672253944,-0.2259278546948438,versicolor,6.0,2.9,4.5,1.5
-0.04025861090059596,-1.0587185465539082,versicolor,5.7,2.6,3.5,1.0
0.13079517549785977,-1.5622718342099673,versicolor,5.5,2.4,3.8,1.1
0.023452688970550018,-1.572475594216704,versicolor,5.5,2.4,3.7,1.0
0.24153827295451044,-0.7772563825848416,versicolor,5.8,2.7,3.9,1.2
1.0610946088426134,-0.6338432447349472,versicolor,6.0,2.7,5.1,1.6
0.22397877351237955,-0.2877735120432028,versicolor,5.4,3.0,4.5,1.5
0.4291391155161611,0.8455822409050777,versicolor,6.0,3.4,4.5,1.6
1.0487280512090873,0.5220517968629425,versicolor,6.7,3.1,4.7,1.5
1.0445313843962778,-1.3829887191907813,versicolor,6.3,2.3,4.4,1.3
0.06958832111642285,-0.21950333464771524,versicolor,5.6,3.0,4.1,1.3
0.28347723828757465,-1.3293246390695763,versicolor,5.5,2.5,4.0,1.3
0.27907777605546036,-1.1200285237424037,versicolor,5.5,2.6,4.4,1.2
0.6245697914985713,0.024923029254012425,versicolor,6.1,3.0,4.6,1.4
0.33653037013143516,-0.9884040176703599,versicolor,5.8,2.6,4.0,1.2
-0.3621833846193841,-2.019237873238611,versicolor,5.0,2.3,3.3,1.0
0.2885862388231568,-0.8557303199870664,versicolor,5.6,2.7,4.2,1.3
0.09136065565450527,-0.18119212582577543,versicolor,5.7,3.0,4.2,1.2
0.2277168655346998,-0.3849200809873539,versicolor,5.7,2.9,4.2,1.3
0.5763882886534784,-0.15487359721655877,versicolor,6.2,2.9,4.3,1.3
-0.4476670190286122,-1.543792034397756,versicolor,5.1,2.5,3.0,1.1
0.2567305888875843,-0.5988517961556694,versicolor,5.7,2.8,4.1,1.3
1.8445688677230287,0.8704213123248216,virginica,6.3,3.3,6.0,2.5
1.157881613205779,-0.698869862330691,virginica,5.8,2.7,5.1,1.9
2.2052667910753776,0.5620104770083549,virginica,7.1,3.0,5.9,2.1
1.4401506638275388,-0.04698758810580715,virginica,6.3,2.9,5.6,1.8
1.867812220330537,0.2950448244570188,virginica,6.5,3.0,5.8,2.2
2.7518733356662763,0.8004092010275414,virginica,7.6,3.0,6.6,2.1
0.3670176878607237,-1.5615028914765063,virginica,4.9,2.5,4.5,1.7
2.3024394446251963,0.42006557964277597,virginica,7.3,2.9,6.3,1.8
2.0066864676766047,-0.7114386535471591,virginica,6.7,2.5,5.8,1.8
2.2597773490125004,1.921010376459885,virginica,7.2,3.6,6.1,2.5
1.3641754921860076,0.692756454490386,virginica,6.5,3.2,5.1,2.0
1.6026786704779297,-0.42170044977261767,virginica,6.4,2.7,5.3,1.9
1.883900701703242,0.41924965060512276,virginica,6.8,3.0,5.5,2.1
1.2601150991975065,-1.1622604214064642,virginica,5.7,2.5,5.0,2.0
1.4676452010173233,-0.44227158737708355,virginica,5.8,2.8,5.1,2.4
1.5900773176145655,0.6762448057233188,virginica,6.4,3.2,5.3,2.3
1.471431461133318,0.25562182447146997,virginica,6.5,3.0,5.5,1.8
2.426328987315701,2.5566612507954907,virginica,7.7,3.8,6.7,2.2
3.310695583933886,0.01778094932062672,virginica,7.7,2.6,6.9,2.3
1.2637666736398268,-1.7067453803762676,virginica,6.0,2.2,5.0,1.5
2.037716301469404,0.9104674096183096,virginica,6.9,3.2,5.7,2.3
0.977980734249421,-0.5717643248129927,virginica,5.6,2.8,4.9,2.0
2.8976514907341677,0.41364105959564745,virginica,7.7,2.8,6.7,2.0
1.333232175973208,-0.4818112186494297,virginica,6.3,2.7,4.9,1.8
1.700733897491217,1.0139218673227903,virginica,6.7,3.3,5.7,2.1
1.9543267058530707,1.0077775961534519,virginica,7.2,3.2,6.0,1.8
1.175103631554932,-0.3163944723097915,virginica,6.2,2.8,4.8,1.8
1.0209505506957908,0.06434602923956126,virginica,6.1,3.0,4.9,1.8
1.7883499201796649,-0.18736121459082952,virginica,6.4,2.8,5.6,2.1
1.8636475533282604,0.5622907258861444,virginica,7.2,3.0,5.8,1.6
2.4359537279227026,0.25928443314427996,virginica,7.4,2.8,6.1,1.9
2.304927721831765,2.6263234682323775,virginica,7.9,3.8,6.4,2.0
1.8627032197949547,-0.17854949462549122,virginica,6.4,2.8,5.6,2.2
1.114147740686474,-0.2929226233357316,virginica,6.3,2.8,5.1,1.5
1.20247330167839,-0.8113152708396687,virginica,6.1,2.6,5.6,1.4
2.7987704475781072,0.8568033294971048,virginica,7.7,3.0,6.1,2.3
1.576255910194754,1.068581107320806,virginica,6.3,3.4,5.6,2.4
1.3462921036270616,0.4224306108525076,virginica,6.4,3.1,5.5,1.8
0.924824916542419,0.01722310045228355,virginica,6.0,3.0,4.8,1.8
1.8520450517676694,0.6761281744365207,virginica,6.9,3.1,5.4,2.1
2.014810429954875,0.6138856369235739,virginica,6.7,3.1,5.6,2.4
1.9017840902621885,0.6895754942430016,virginica,6.9,3.1,5.1,2.3
1.157881613205779,-0.698869862330691,virginica,5.8,2.7,5.1,1.9
2.040558228052092,0.8675206009552271,virginica,6.8,3.2,5.9,2.3
1.998147095952376,1.0491687471841435,virginica,6.7,3.3,5.7,2.5
1.87050329295641,0.38696608166572466,virginica,6.7,3.0,5.2,2.3
1.564580483030327,-0.8966868088965265,virginica,6.3,2.5,5.0,1.9
1.5211704996278372,0.269069144277951,virginica,6.5,3.0,5.2,2.0
1.372787789514073,1.0112544185267915,virginica,6.2,3.4,5.4,2.3
0.9606560300371275,-0.024331668169400023,virginica,5.9,3.0,5.1,1.8
